Profession Spell Family,14,
,,
Spell Family Flags,,
Description,Hexadecimal,Decimal
Blacksmithing,0x00000001,1
,0x00000002,2
,0x00000004,4
,0x00000008,8
,0x00000010,16
,0x00000020,32
,0x00000040,64
,0x00000080,128
,0x00000100,256
,0x00000200,512
,0x00000400,1024
,0x00000800,2048
,0x00001000,4096
,0x00002000,8192
,0x00004000,16384
,0x00008000,32768
,0x00010000,65536
,0x00020000,131072
,0x00040000,262144
,0x00080000,524288
,0x00100000,1048576
,0x00200000,2097152
,0x00400000,4194304
,0x00800000,8388608
,0x01000000,16777216
,0x02000000,33554432
,0x04000000,67108864
,0x08000000,134217728
,0x10000000,268435456
,0x20000000,536870912
,0x40000000,1073741824
,0x80000000,2147483648
